date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:06:20	91788/91788	U-----	200	untouched ('OK')	text/html	date:Tue,%2017%20May%202022%2021:42:10%20GMT	https://risingtheme.com/html/demo-suruchi-v1/suruchi/privacy-policy.html	C:/xampp/htdocs/Duan1/HL/risingtheme.com/html/demo-suruchi-v1/suruchi/privacy-policy.html	(from https://risingtheme.com/html/demo-suruchi-v1/suruchi/index.html)
22:06:21	99639/99639	U-----	200	untouched ('OK')	text/html	date:Tue,%2017%20May%202022%2021:40:44%20GMT	https://risingtheme.com/html/demo-suruchi-v1/suruchi/portfolio.html	C:/xampp/htdocs/Duan1/HL/risingtheme.com/html/demo-suruchi-v1/suruchi/portfolio.html	(from https://risingtheme.com/html/demo-suruchi-v1/suruchi/index.html)
22:06:22	379/379	U-----	200	untouched ('')	image/png	date:Sun,%2028%20Nov%202021%2003:37:48%20GMT	https://risingtheme.com/html/demo-suruchi-v1/suruchi/assets/img/icon/text-shape-icon.png	C:/xampp/htdocs/Duan1/HL/risingtheme.com/html/demo-suruchi-v1/suruchi/assets/img/icon/text-shape-icon.png	(from https://risingtheme.com/html/demo-suruchi-v1/suruchi/index.html)
22:06:22	115080/115080	U-----	200	untouched ('')	image/png	date:Wed,%2009%20Feb%202022%2017:21:48%20GMT	https://risingtheme.com/html/demo-suruchi-v1/suruchi/assets/img/banner/banner1.png	C:/xampp/htdocs/Duan1/HL/risingtheme.com/html/demo-suruchi-v1/suruchi/assets/img/banner/banner1.png	(from https://risingtheme.com/html/demo-suruchi-v1/suruchi/index.html)
22:06:22	26626/26626	U-----	200	untouched ('')	image/png	date:Wed,%2009%20Feb%202022%2017:21:48%20GMT	https://risingtheme.com/html/demo-suruchi-v1/suruchi/assets/img/banner/banner2.png	C:/xampp/htdocs/Duan1/HL/risingtheme.com/html/demo-suruchi-v1/suruchi/assets/img/banner/banner2.png	(from https://risingtheme.com/html/demo-suruchi-v1/suruchi/index.html)
22:06:22	49206/49206	U-----	200	untouched ('')	image/png	date:Wed,%2009%20Feb%202022%2017:21:48%20GMT	https://risingtheme.com/html/demo-suruchi-v1/suruchi/assets/img/banner/banner4.png	C:/xampp/htdocs/Duan1/HL/risingtheme.com/html/demo-suruchi-v1/suruchi/assets/img/banner/banner4.png	(from https://risingtheme.com/html/demo-suruchi-v1/suruchi/index.html)
22:06:22	28021/28021	U-----	200	untouched ('')	image/png	date:Wed,%2009%20Feb%202022%2017:21:48%20GMT	https://risingtheme.com/html/demo-suruchi-v1/suruchi/assets/img/banner/banner3.png	C:/xampp/htdocs/Duan1/HL/risingtheme.com/html/demo-suruchi-v1/suruchi/assets/img/banner/banner3.png	(from https://risingtheme.com/html/demo-suruchi-v1/suruchi/index.html)
22:06:33	24989/24989	U-----	200	untouched ('')	image/png	date:Wed,%2009%20Feb%202022%2017:33:52%20GMT	https://risingtheme.com/html/demo-suruchi-v1/suruchi/assets/img/product/product3.png	C:/xampp/htdocs/Duan1/HL/risingtheme.com/html/demo-suruchi-v1/suruchi/assets/img/product/product3.png	(from https://risingtheme.com/html/demo-suruchi-v1/suruchi/index.html)
22:06:34	38216/38216	U-----	200	untouched ('')	image/png	date:Wed,%2009%20Feb%202022%2017:33:52%20GMT	https://risingtheme.com/html/demo-suruchi-v1/suruchi/assets/img/product/product5.png	C:/xampp/htdocs/Duan1/HL/risingtheme.com/html/demo-suruchi-v1/suruchi/assets/img/product/product5.png	(from https://risingtheme.com/html/demo-suruchi-v1/suruchi/index.html)
22:06:35	20960/20960	U-----	200	untouched ('')	image/png	date:Wed,%2009%20Feb%202022%2017:33:52%20GMT	https://risingtheme.com/html/demo-suruchi-v1/suruchi/assets/img/product/product4.png	C:/xampp/htdocs/Duan1/HL/risingtheme.com/html/demo-suruchi-v1/suruchi/assets/img/product/product4.png	(from https://risingtheme.com/html/demo-suruchi-v1/suruchi/index.html)
22:06:35	32275/32275	U-----	200	untouched ('')	image/png	date:Wed,%2009%20Feb%202022%2017:34:34%20GMT	https://risingtheme.com/html/demo-suruchi-v1/suruchi/assets/img/product/product11.png	C:/xampp/htdocs/Duan1/HL/risingtheme.com/html/demo-suruchi-v1/suruchi/assets/img/product/product11.png	(from https://risingtheme.com/html/demo-suruchi-v1/suruchi/index.html)
22:06:46	25671/25671	U-----	200	untouched ('')	image/png	date:Wed,%2009%20Feb%202022%2017:33:52%20GMT	https://risingtheme.com/html/demo-suruchi-v1/suruchi/assets/img/product/product6.png	C:/xampp/htdocs/Duan1/HL/risingtheme.com/html/demo-suruchi-v1/suruchi/assets/img/product/product6.png	(from https://risingtheme.com/html/demo-suruchi-v1/suruchi/index.html)
22:06:47	28218/28218	U-----	200	untouched ('')	image/png	date:Wed,%2009%20Feb%202022%2017:33:52%20GMT	https://risingtheme.com/html/demo-suruchi-v1/suruchi/assets/img/product/product7.png	C:/xampp/htdocs/Duan1/HL/risingtheme.com/html/demo-suruchi-v1/suruchi/assets/img/product/product7.png	(from https://risingtheme.com/html/demo-suruchi-v1/suruchi/index.html)
22:06:47	33176/33176	U-----	200	untouched ('')	image/png	date:Wed,%2009%20Feb%202022%2017:33:52%20GMT	https://risingtheme.com/html/demo-suruchi-v1/suruchi/assets/img/product/product8.png	C:/xampp/htdocs/Duan1/HL/risingtheme.com/html/demo-suruchi-v1/suruchi/assets/img/product/product8.png	(from https://risingtheme.com/html/demo-suruchi-v1/suruchi/index.html)
22:06:47	34740/34740	U-----	200	untouched ('')	image/png	date:Mon,%2007%20Feb%202022%2020:37:40%20GMT	https://risingtheme.com/html/demo-suruchi-v1/suruchi/assets/img/product/product15.png	C:/xampp/htdocs/Duan1/HL/risingtheme.com/html/demo-suruchi-v1/suruchi/assets/img/product/product15.png	(from https://risingtheme.com/html/demo-suruchi-v1/suruchi/index.html)
